Nested Sampling Global Log-Evidence           :    0.940329784704262465E+03  +/-    0.100885780861297958E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.940329784704262465E+03 +/-    0.100885780861297958E+00
Local Log-Evidence    0.940329784704262465E+03 +/-    0.100885780861297958E+00

Dim No.       Mean        Sigma
   1   -0.292912838970114597E+01    0.110903715602269037E+01
   2   -0.447693037154993156E+01    0.114301947196246245E+01
   3   -0.352996031732561288E+01    0.559568702368649418E+00
   4   -0.431283049199937185E+01    0.574439529434105478E+00
   5   -0.792385392190555038E+01    0.234077621735452901E+01
   6   -0.747133741559287223E+01    0.266781216267156562E+01
   7   -0.872155095709938522E+01    0.194256593751997286E+01
   8    0.884954587861596451E+03    0.843923761481002259E+02
   9    0.131355366405143292E+01    0.426434113305038442E+00
  10    0.106047405138232498E+01    0.525484498181596593E+00
  11   -0.165001653184803332E+01    0.162656898348353640E+01
  12   -0.382700387004666753E+01    0.152942857639668239E+01
  13    0.437745758996472889E+00    0.105937170416186444E+01
  14   -0.307957632066161713E+01    0.460358232046192972E+00
  15    0.349992254537152281E+01    0.760893255051129369E+00
  16   -0.154834724508054382E+02    0.276708516350136691E+01
  17    0.473803178433824856E+00    0.109923064182154265E+00
  18   -0.475382999371626536E+01    0.788204375631152865E+00
  19    0.400623765239295160E+00    0.832482309921811353E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.303388030044046708E+01
   2   -0.469961794766325802E+01
   3   -0.352946893491456670E+01
   4   -0.424397776301331753E+01
   5   -0.461902529948299456E+01
   6   -0.481721267182241686E+01
   7   -0.754135905530301365E+01
   8    0.800049218032588101E+03
   9    0.132274981184579898E+01
  10    0.194177725517447719E+00
  11   -0.258611900195158695E+01
  12   -0.469184082535499147E+01
  13   -0.699467902210890502E+00
  14   -0.337183060836863291E+01
  15    0.354747259572106799E+01
  16   -0.149557997547225554E+02
  17    0.456797315201320830E+00
  18   -0.564666273511481087E+01
  19    0.389715041390408634E+00

MAP Parameters
Dim No.        Parameter
   1   -0.303388030044046708E+01
   2   -0.469961794766325802E+01
   3   -0.352946893491456670E+01
   4   -0.424397776301331753E+01
   5   -0.461902529948299456E+01
   6   -0.481721267182241686E+01
   7   -0.754135905530301365E+01
   8    0.800049218032588101E+03
   9    0.132274981184579898E+01
  10    0.194177725517447719E+00
  11   -0.258611900195158695E+01
  12   -0.469184082535499147E+01
  13   -0.699467902210890502E+00
  14   -0.337183060836863291E+01
  15    0.354747259572106799E+01
  16   -0.149557997547225554E+02
  17    0.456797315201320830E+00
  18   -0.564666273511481087E+01
  19    0.389715041390408634E+00
