Nested Sampling Global Log-Evidence           :    0.959256825431825746E+03  +/-    0.949188200551305122E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.959256825431825746E+03 +/-    0.949188200551305122E-01
Local Log-Evidence    0.959256825431825746E+03 +/-    0.949188200551305122E-01

Dim No.       Mean        Sigma
   1   -0.397948451886902488E+01    0.565000977927965997E+00
   2   -0.413399838119954666E+01    0.112982036284557030E+01
   3   -0.587610178780571868E+01    0.111130281065436942E+01
   4   -0.835962787404441521E+01    0.201117474424084719E+01
   5   -0.739867773597764344E+01    0.215719844436476738E+01
   6   -0.814191890985992295E+01    0.215588724679797972E+01
   7   -0.788391669315800581E+01    0.240429339113456164E+01
   8   -0.928077121865980281E+01    0.162194740064654797E+01
   9    0.109753935892903814E+04    0.206184184782916418E+03
  10    0.111586118300703729E+01    0.471934129124807977E+00
  11    0.100547823917328416E+01    0.525352646306097459E+00
  12   -0.164447428870989065E+01    0.157697669271875229E+01
  13   -0.385882459040635784E+01    0.147903437582022423E+01
  14    0.461566271977637166E+00    0.101979165122877635E+01
  15   -0.313249913874995167E+01    0.693520796053970545E+00
  16    0.291450938110241964E+01    0.805115473393557601E+00
  17   -0.162548352912796474E+02    0.252662298717119960E+01
  18    0.302254278106931729E+00    0.776585096976653705E-01
  19   -0.454540643905272468E+01    0.862469532129212291E+00
  20    0.584725089982691237E+00    0.831375925674717603E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.431295955035457101E+01
   2   -0.524167487678647159E+01
   3   -0.693717789531341289E+01
   4   -0.909276563624275624E+01
   5   -0.583199263756076114E+01
   6   -0.557627690527932884E+01
   7   -0.112797761717448548E+02
   8   -0.110411022504850340E+02
   9    0.807681181666555062E+03
  10    0.149745851523853202E+01
  11    0.243257377484511234E+00
  12   -0.123413470063224207E+01
  13   -0.157861490820524608E+01
  14   -0.253332644294818499E+00
  15   -0.180688024844736095E+01
  16    0.216149439190075920E+01
  17   -0.152600514001027445E+02
  18    0.347732207828079620E+00
  19   -0.319585929833752624E+01
  20    0.430691485576833955E+00

MAP Parameters
Dim No.        Parameter
   1   -0.431295955035457101E+01
   2   -0.524167487678647159E+01
   3   -0.693717789531341289E+01
   4   -0.909276563624275624E+01
   5   -0.583199263756076114E+01
   6   -0.557627690527932884E+01
   7   -0.112797761717448548E+02
   8   -0.110411022504850340E+02
   9    0.807681181666555062E+03
  10    0.149745851523853202E+01
  11    0.243257377484511234E+00
  12   -0.123413470063224207E+01
  13   -0.157861490820524608E+01
  14   -0.253332644294818499E+00
  15   -0.180688024844736095E+01
  16    0.216149439190075920E+01
  17   -0.152600514001027445E+02
  18    0.347732207828079620E+00
  19   -0.319585929833752624E+01
  20    0.430691485576833955E+00
