Nested Sampling Global Log-Evidence           :    0.954552015135384408E+03  +/-    0.921799004982743198E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.954552015135384408E+03 +/-    0.921799004982743198E-01
Local Log-Evidence    0.954552015135384408E+03 +/-    0.921799004982743198E-01

Dim No.       Mean        Sigma
   1   -0.373038857502205445E+01    0.487916083762216513E+00
   2   -0.303612986950953490E+01    0.918443372125985258E+00
   3   -0.834083144055824022E+01    0.206181366866499749E+01
   4   -0.840820377719246004E+01    0.202794694663686270E+01
   5   -0.814998584981539231E+01    0.215133815326467914E+01
   6   -0.765737632048279426E+01    0.252844518291831299E+01
   7   -0.914623128450650213E+01    0.169491844526195146E+01
   8    0.126233234383572017E+04    0.180808913991670352E+03
   9    0.112500298841402646E+01    0.472248436517334003E+00
  10    0.106637126424604345E+01    0.516231501574500262E+00
  11   -0.168044021839677793E+01    0.162629633385207062E+01
  12   -0.382113027357177515E+01    0.154052659806823100E+01
  13    0.444557901830963498E+00    0.104448214651373372E+01
  14   -0.363134264463111567E+01    0.544755809273292146E+00
  15    0.340480599841238440E+01    0.653198446597072269E+00
  16   -0.170430022634421015E+02    0.217728315374486137E+01
  17    0.267454818814405026E+00    0.509035984988567489E-01
  18   -0.472895765723575412E+01    0.724208064414974095E+00
  19    0.672248340869258443E+00    0.428074219775009604E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.396253324535410378E+01
   2   -0.332850230792252155E+01
   3   -0.709106798952346118E+01
   4   -0.631541808123080362E+01
   5   -0.925238424114139058E+01
   6   -0.103139196121415218E+02
   7   -0.100823159568372880E+02
   8    0.145252028587559471E+04
   9    0.159692334023639293E+01
  10    0.561729307294823288E+00
  11    0.618678930215169842E+00
  12   -0.289340828951734386E+01
  13    0.166338607211282241E+01
  14   -0.407127609288247427E+01
  15    0.364550473416884913E+01
  16   -0.194898842266620278E+02
  17    0.224782367075351541E+00
  18   -0.523601269315873097E+01
  19    0.689140707821351506E+00

MAP Parameters
Dim No.        Parameter
   1   -0.396253324535410378E+01
   2   -0.332850230792252155E+01
   3   -0.709106798952346118E+01
   4   -0.631541808123080362E+01
   5   -0.925238424114139058E+01
   6   -0.103139196121415218E+02
   7   -0.100823159568372880E+02
   8    0.145252028587559471E+04
   9    0.159692334023639293E+01
  10    0.561729307294823288E+00
  11    0.618678930215169842E+00
  12   -0.289340828951734386E+01
  13    0.166338607211282241E+01
  14   -0.407127609288247427E+01
  15    0.364550473416884913E+01
  16   -0.194898842266620278E+02
  17    0.224782367075351541E+00
  18   -0.523601269315873097E+01
  19    0.689140707821351506E+00
