Nested Sampling Global Log-Evidence           :    0.959577949067681629E+03  +/-    0.942992024784765070E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence    0.959577949067681629E+03 +/-    0.942992024784765070E-01
Local Log-Evidence    0.959577949067681629E+03 +/-    0.942992024784765070E-01

Dim No.       Mean        Sigma
   1   -0.405351973430533885E+01    0.559470644581630761E+00
   2   -0.431602130447680032E+01    0.111649854169622254E+01
   3   -0.603025610996019967E+01    0.109096330800569863E+01
   4   -0.732317700780947511E+01    0.210546291361018501E+01
   5   -0.808500215967602642E+01    0.217925834518489969E+01
   6   -0.793780695517974966E+01    0.240002876136532395E+01
   7   -0.932760142803477699E+01    0.159660637316677256E+01
   8    0.108310242064394129E+04    0.205168754174362306E+03
   9    0.113950464464257339E+01    0.472971822050066881E+00
  10    0.102728589518901292E+01    0.527641627987148421E+00
  11   -0.162840545064383635E+01    0.158288347333041224E+01
  12   -0.382432084785811321E+01    0.150475673578350211E+01
  13    0.452245075344106628E+00    0.101836768924326071E+01
  14   -0.304953621083986803E+01    0.699742223405520614E+00
  15    0.279379505135120798E+01    0.818513892994311765E+00
  16   -0.161213805798251109E+02    0.258347381399300469E+01
  17    0.306143907141643690E+00    0.810707155459666207E-01
  18   -0.451413629757691481E+01    0.873966299749186049E+00
  19    0.574487747007947580E+00    0.869881248004734792E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.398390874233708736E+01
   2   -0.466073746761968266E+01
   3   -0.655632180177889889E+01
   4   -0.564950433359728077E+01
   5   -0.572518052707952840E+01
   6   -0.655609644599429053E+01
   7   -0.944151322255743253E+01
   8    0.845494194588411233E+03
   9    0.191002149765136364E+01
  10    0.324499148981655494E+00
  11   -0.226370599363248637E+01
  12   -0.497406877368444356E+01
  13   -0.670081560722511682E+00
  14   -0.286883739277579952E+01
  15    0.230151084352302338E+01
  16   -0.151067989864826249E+02
  17    0.446550088077137475E+00
  18   -0.501531860700051180E+01
  19    0.484130828001343105E+00

MAP Parameters
Dim No.        Parameter
   1   -0.398390874233708736E+01
   2   -0.466073746761968266E+01
   3   -0.655632180177889889E+01
   4   -0.564950433359728077E+01
   5   -0.572518052707952840E+01
   6   -0.655609644599429053E+01
   7   -0.944151322255743253E+01
   8    0.845494194588411233E+03
   9    0.191002149765136364E+01
  10    0.324499148981655494E+00
  11   -0.226370599363248637E+01
  12   -0.497406877368444356E+01
  13   -0.670081560722511682E+00
  14   -0.286883739277579952E+01
  15    0.230151084352302338E+01
  16   -0.151067989864826249E+02
  17    0.446550088077137475E+00
  18   -0.501531860700051180E+01
  19    0.484130828001343105E+00
