   -0.117060595035552986E+02   -0.395149251222610509E+01   -0.107725130617618561E+02    0.218833436369895935E+04   -0.589065885543823242E+01   -0.106329426405010134E+06   -0.690775511231546968E+01    1
   -0.714691894054412913E+01   -0.848353520035743713E+01   -0.897235974669456482E+01    0.211423932313919067E+04   -0.574342441558837891E+01   -0.102620784539434680E+06   -0.690875511231548245E+01    1
   -0.674691199064254832E+01   -0.246445888280868530E+01   -0.801017144322395325E+01    0.225576733350753784E+04   -0.592176532745361328E+01   -0.100877454717277331E+06   -0.690975511231547301E+01    1
   -0.965253614187240672E+01   -0.789806363582611137E+01   -0.859296020865440369E+01    0.201333059668540955E+04   -0.579368495941162109E+01   -0.975389488321121607E+05   -0.691075511231547601E+01    1
   -0.793779444694519043E+01   -0.630514626502990794E+01   -0.973482003808021545E+01    0.194642566442489624E+04   -0.591752862930297852E+01   -0.968721178465211269E+05   -0.691175511231546658E+01    1
   -0.677867320775985771E+01   -0.116289647698402412E+02   -0.785496101975440997E+01    0.226473154425621033E+04   -0.510773420333862305E+01   -0.946984590092540020E+05   -0.691275511231547579E+01    1
   -0.118191966354846958E+02   -0.724019345641136169E+01   -0.672183301448822057E+01    0.225349916815757751E+04   -0.505266427993774414E+01   -0.919909239431561145E+05   -0.691375511231547435E+01    1
   -0.112054542124271386E+02   -0.920534623861312795E+01   -0.898213554024696315E+01    0.187074239850044250E+04   -0.583673381805419922E+01   -0.918979644983877079E+05   -0.691475511231548357E+01    1
   -0.107134322047233574E+02   -0.589489697813987767E+01   -0.563356082439422678E+01    0.192937521934509277E+04   -0.584051275253295898E+01   -0.910416277220412157E+05   -0.691575511231552209E+01    1
   -0.585947245359420776E+01   -0.874616079926490819E+01   -0.875480684638023376E+01    0.220537613630294800E+04   -0.521561336517333984E+01   -0.901118610242069553E+05   -0.691675511231554463E+01    1
   -0.115910959482192997E+02   -0.662355204820632970E+01   -0.442734171152114886E+01    0.217828019261360168E+04   -0.541846752166748047E+01   -0.900763285182888503E+05   -0.691775511231549967E+01    1
   -0.114642853975296024E+02   -0.589396179914474505E+01   -0.960072471499443125E+01    0.207664414048194885E+04   -0.526993894577026367E+01   -0.899707203681024839E+05   -0.691875511231549378E+01    1
   -0.116201283395290371E+02   -0.550480459928512644E+01   -0.837075442671775782E+01    0.203455598950386047E+04   -0.538354873657226562E+01   -0.893235146640898020E+05   -0.691975511231551454E+01    1
   -0.858550039529800380E+01   -0.374164001941680979E+01   -0.867711446285247767E+01    0.225320546627044678E+04   -0.491822481155395508E+01   -0.867274647004561120E+05   -0.692075511231548113E+01    1
   -0.110095680356025696E+02   -0.359307557344436646E+01   -0.486979504823684728E+01    0.216252087354660034E+04   -0.519382476806640625E+01   -0.846130596223066386E+05   -0.692175511231547080E+01    1
   -0.814688540697097707E+01   -0.911713954210281408E+01   -0.525941321253776550E+01    0.190426411032676697E+04   -0.557187604904174805E+01   -0.846111206606422784E+05   -0.692275511231549334E+01    1
   -0.556109595894813591E+01   -0.817166381478309667E+01   -0.451544310450553965E+01    0.191588594317436218E+04   -0.580419445037841797E+01   -0.823148299985838967E+05   -0.692375511231548746E+01    1
   -0.105450574457645416E+02   -0.324784807562828171E+01   -0.915833762884139979E+01    0.214982955455780029E+04   -0.494588994979858398E+01   -0.813701363211226417E+05   -0.692475511231548957E+01    1
   -0.752584844827651978E+01   -0.104454598367214206E+02   -0.321090885400772130E+01    0.201787953376770020E+04   -0.560307788848876953E+01   -0.813521421936044644E+05   -0.692575511231552365E+01    1
   -0.523675342798233068E+01   -0.854483440518379211E+01   -0.941573640704154968E+01    0.191893650889396667E+04   -0.559670829772949219E+01   -0.810681126508283778E+05   -0.692675511231553909E+01    1
   -0.832586444020271266E+01   -0.925267424583435094E+01   -0.884480928182602000E+01    0.164970897436141968E+04   -0.573226642608642578E+01   -0.793473208332721260E+05   -0.692775511231552343E+01    1
   -0.106898490965366371E+02   -0.320621134042739975E+01   -0.431162150502204966E+01    0.178881262540817261E+04   -0.577183961868286133E+01   -0.787436539687095647E+05   -0.692875511231550334E+01    1
   -0.711819548606872576E+01   -0.111500471234321594E+02   -0.545954360961914098E+01    0.174193512201309204E+04   -0.561388683319091797E+01   -0.779331713924300566E+05   -0.692975511231548769E+01    1
   -0.105734405815601349E+02   -0.453228469491005015E+01   -0.362702445387840378E+01    0.204596932530403137E+04   -0.528102350234985352E+01   -0.774736324941632483E+05   -0.693075511231546315E+01    1
   -0.597401688694953936E+01   -0.572024027109146171E+01   -0.534152973890304583E+01    0.172774891853332520E+04   -0.579264163970947266E+01   -0.770560751232744515E+05   -0.693175511231550789E+01    1
