   -0.280480536521081092E+01   -0.448968485451082966E+01   -0.602165801284609881E+01    0.133084711369920433E+04    0.122088617123330501E+01    0.354646259215007660E+03
   -0.288957411168472511E+01   -0.454174380019278079E+01   -0.992176802531810864E+01    0.149365310980903018E+04    0.718063864723823997E+00    0.354986366171101167E+03
   -0.283170413230810247E+01   -0.413186197907604758E+01   -0.789411790566886928E+01    0.146264515116771099E+04    0.773848815457690797E+00    0.355082265459335758E+03
   -0.335203636851117537E+01   -0.520700754852991121E+01   -0.632811179052444750E+01    0.152478624962386061E+04    0.100201883438238770E+01    0.355133326666635242E+03
   -0.282327117743343869E+01   -0.582151948551688214E+01   -0.570398004006731085E+01    0.131741162619022816E+04    0.127493199263346391E+01    0.355357297526865068E+03
   -0.306393643052057918E+01   -0.464423407680800615E+01   -0.590631515094895665E+01    0.144590411925583930E+04    0.102060685421252373E+01    0.355470561681245385E+03
   -0.320826321588761942E+01   -0.550778116952713237E+01   -0.625425665860783653E+01    0.147786474691277044E+04    0.113076459521446182E+01    0.355800868911661951E+03
   -0.261465614699014459E+01   -0.398750933603201041E+01   -0.625737204670781377E+01    0.137234876261010186E+04    0.969938024749340322E+00    0.355819503503786905E+03
   -0.301689475492440096E+01   -0.532488861696755933E+01   -0.119295662641081677E+02    0.145788003405675863E+04    0.980943983695738098E+00    0.355880487570110517E+03
   -0.336721161267382563E+01   -0.588811811283946795E+01   -0.605433338639153451E+01    0.156448049975693584E+04    0.933261491294184786E+00    0.356002083581328407E+03
   -0.283114404155131183E+01   -0.428087536573144511E+01   -0.586837059475770850E+01    0.152714825653696516E+04    0.539987503335736641E+00    0.356132503206458864E+03
   -0.280838056765563948E+01   -0.510616158825135624E+01   -0.102338948763753343E+02    0.136085088639061132E+04    0.121673896093671363E+01    0.356621068663800429E+03
   -0.329135523247711781E+01   -0.510397627041366242E+01   -0.599471516850223374E+01    0.166646984686732958E+04    0.538302715073254667E+00    0.356798666675575078E+03
   -0.276712884729268715E+01   -0.433170847644405299E+01   -0.592567104414052270E+01    0.135741176989107908E+04    0.112305723813651159E+01    0.356802876456211607E+03
   -0.325595255934947936E+01   -0.526943331995324549E+01   -0.869524170057295187E+01    0.149505094531218424E+04    0.103066743057250498E+01    0.356968007688446733E+03
   -0.259482929962410580E+01   -0.455916619515337285E+01   -0.984229096577923812E+01    0.134157226666998531E+04    0.101463357897615314E+01    0.357066602899720749E+03
   -0.324283088407320186E+01   -0.487346622060907020E+01   -0.605960545085757474E+01    0.161420491384916886E+04    0.604121717424016325E+00    0.357072604763338347E+03
   -0.258418747176967933E+01   -0.449416174342209018E+01   -0.829200845522419705E+01    0.128321188787419965E+04    0.130429339978274772E+01    0.357072921332386272E+03
   -0.252819057514859402E+01   -0.443977980164367469E+01   -0.844950629605038017E+01    0.131418010308507382E+04    0.109308834245593545E+01    0.357187972878763389E+03
   -0.286310821100640212E+01   -0.560149370587352813E+01   -0.655229993133578326E+01    0.142931023548863504E+04    0.893783084750511492E+00    0.357255383206925103E+03
   -0.312875199121717529E+01   -0.516789633563090511E+01   -0.828192556805733204E+01    0.154020071653202103E+04    0.793523731298822810E+00    0.357406556809151198E+03
   -0.281690433375685956E+01   -0.484455647620805063E+01   -0.111764307553749269E+02    0.136016342886444545E+04    0.114629781640456940E+01    0.357413676742576627E+03
   -0.289119018223068380E+01   -0.640570660067415254E+01   -0.697713387213121194E+01    0.139057695012146587E+04    0.114406184663165345E+01    0.357440911019306952E+03
   -0.248961808825341002E+01   -0.467727919116214164E+01   -0.671508403244220720E+01    0.135633745988920919E+04    0.957058240559879536E+00    0.357441535372893327E+03
   -0.288520195461510198E+01   -0.493831642813296767E+01   -0.585550445468699099E+01    0.142762512183672425E+04    0.860495181948288668E+00    0.357472666097467823E+03
   -0.288396228147815137E+01   -0.486032876659263291E+01   -0.954383658592944606E+01    0.134635053640664955E+04    0.126722855852242056E+01    0.357491624284110571E+03
   -0.247850483125775156E+01   -0.484955839039684644E+01   -0.764003122584616445E+01    0.125604701133084359E+04    0.137330593158576786E+01    0.357572788821999552E+03
   -0.270823930557339487E+01   -0.491728310425507509E+01   -0.909469871381107886E+01    0.138846796869313471E+04    0.912479180693754444E+00    0.357584418585088656E+03
   -0.281747208544180161E+01   -0.516219703844200328E+01   -0.875731900933415019E+01    0.136314965468011724E+04    0.119386746984291392E+01    0.357682412263188098E+03
