   -0.618376496679755849E+01   -0.743470225747009739E+01    0.152260877029673338E+04   -0.107809497040759794E+01    0.175929298548986424E+01    0.145334338944743990E+01   -0.300616266894122752E+01    0.983982415406998046E+00   -0.258911289663110438E+02
   -0.493101161796317733E+01   -0.615675818595178370E+01    0.153794653804702375E+04   -0.587074233099565745E+00    0.113680094211746852E+01    0.184581341735869486E+01   -0.158665637849027963E+01    0.974231782562843263E+00   -0.240231774749930196E+02
   -0.832605919233274250E+01   -0.686467250317039479E+01    0.217178068473572102E+04   -0.274032072850428232E+01    0.277331814860109382E+01    0.142332898607605429E+01    0.109907794796484382E+00    0.969006911477407584E+00   -0.238651776149824002E+02
   -0.646951681843560422E+01   -0.982276736794824856E+01    0.131247451227443071E+04   -0.562780050918858521E+00    0.164494374384676867E+01    0.180433387632097109E+01   -0.168356384964834582E+01    0.973190556607826607E+00   -0.236145898132662069E+02
   -0.816710154913807251E+01   -0.931087696394911113E+01    0.154009430141579878E+04   -0.188170825301201994E+01    0.253435336430985814E+01    0.195019654442969781E+01   -0.163071806663168672E+00    0.973758309489920926E+00   -0.232818154946629932E+02
   -0.686280561575366477E+01   -0.463965830510229527E+01    0.160251576511947610E+04   -0.140056374871538569E+01    0.170444835507398462E+01    0.187820112480273949E+01    0.833756040709961788E+00    0.981904244905990709E+00   -0.232343503738511004E+02
   -0.827184447434189529E+01   -0.813030634964142251E+01    0.156431590086722963E+04   -0.667270287969710552E+00    0.133010980237150900E+01    0.158982455979008463E+01    0.531701126679340774E+00    0.949685444546574997E+00   -0.231761477780036387E+02
   -0.357152562248400329E+01   -0.839106688285977498E+01    0.224478754514418415E+04   -0.291926517169701949E+01    0.262545923107534929E+01    0.144426770230331769E+01   -0.243119642283194626E+01    0.999809355020984780E+00   -0.231312287304524489E+02
   -0.298183603589470092E+01   -0.964885082724139664E+01    0.183155170065791958E+04   -0.209972702789337173E+01    0.230043594611488000E+01    0.174871297290614791E+01   -0.246678489385521793E+01    0.981293608438386311E+00   -0.230782084753713832E+02
   -0.410861632530578547E+01   -0.378758384049716845E+01    0.206549745465309388E+04   -0.278235844657359621E+01    0.264532175407470405E+01    0.168095285566912267E+01   -0.724834478679428074E+00    0.999289699221437400E+00   -0.229025276495996479E+02
   -0.624997689309960958E+01   -0.713678442483967057E+01    0.195039010501154758E+04   -0.245550519064215722E+01    0.259608974097551037E+01    0.150195930871218053E+01   -0.194496126547626158E+01    0.960631910963362090E+00   -0.228283216818791459E+02
   -0.994346146061273295E+01   -0.634090217814242152E+01    0.228282776683525481E+04   -0.252499435928355620E+01    0.235530663931760298E+01    0.144375502477204876E+01   -0.393069482464917463E+01    0.945925467060066527E+00   -0.228171506357570593E+02
   -0.569029436101661634E+01   -0.539774048678560092E+01    0.176097916112096755E+04   -0.215667762073270186E+01    0.236122300842789201E+01    0.170681426842504536E+01   -0.373068455355017115E+01    0.971853278217042815E+00   -0.226888331393409999E+02
   -0.449852545643173585E+01   -0.804403535452552099E+01    0.198513225934164393E+04   -0.203700920714393829E+01    0.209767259503721704E+01    0.163594010544577984E+01   -0.689974406702287268E-02    0.955666523833369697E+00   -0.225899698174438299E+02
   -0.847576721160227819E+01   -0.717188170362588195E+01    0.164955216318039857E+04   -0.850533701889613525E+00    0.123815259905626807E+01    0.186258047219178025E+01    0.595795113214419025E+00    0.943755782126163512E+00   -0.225832068139536659E+02
